collection_ID	collection_start_date	sex	collection_comment	developmental_stage	collection_end_date	GPS_qualifier	trap_duration	f2	species_identification_method	attractant	duration.check	trap_number	species	GPS_latitude	sample_count	trap_type	GPS_longitude	NotEmpty	repeateInstance	sample_ID
soroti_collection_00124	2015-09-07	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-09-10	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	1	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00065
soroti_collection_00124	2015-09-07	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-09-10	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	7	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00066
soroti_collection_00124	2015-09-07	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-09-10	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	11	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00067
soroti_collection_00035	2015-10-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	22	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00068
soroti_collection_00035	2015-10-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	2	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00069
soroti_collection_00035	2015-10-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	3	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00070
soroti_collection_00035	2015-10-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Anopheles gambiae sensu lato	1.717417	4	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00071
soroti_collection_00035	2015-10-13	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	1	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00072
soroti_collection_00090	2015-10-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	10	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00073
soroti_collection_00090	2015-10-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	4	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00074
soroti_collection_00090	2015-10-13	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	2	HLC-OUT	33.736604	notEmpty	TRUE	soroti_sample_00075
soroti_collection_00125	2015-10-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	2	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	FALSE	soroti_sample_00076
soroti_collection_00125	2015-10-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Anopheles gambiae sensu lato	1.717417	1	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00077
soroti_collection_00125	2015-10-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	3	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00078
soroti_collection_00125	2015-10-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	15	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00079
soroti_collection_00125	2015-10-13	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	1	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00080
soroti_collection_00125	2015-10-13	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-16	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	1	INDOOR CDC LIGHT TRAP	33.736604	notEmpty	TRUE	soroti_sample_00081
soroti_collection_00193	2015-10-17	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-17	IA	1		MORPHO	none	0	12	Anopheles funestus sensu lato	1.717417	56	PSC	33.736604	notEmpty	FALSE	soroti_sample_00082
soroti_collection_00193	2015-10-17	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-17	IA	1		MORPHO	none	0	12	Anopheles gambiae sensu lato	1.717417	41	PSC	33.736604	notEmpty	TRUE	soroti_sample_00083
soroti_collection_00193	2015-10-17	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-17	IA	1		MORPHO	none	0	12	Culex sp.	1.717417	1	PSC	33.736604	notEmpty	TRUE	soroti_sample_00084
soroti_collection_00193	2015-10-17	male	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-17	IA	1		MORPHO	none	0	12	Anopheles gambiae sensu lato	1.717417	30	PSC	33.736604	notEmpty	TRUE	soroti_sample_00085
soroti_collection_00193	2015-10-17	male	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-10-17	IA	1		MORPHO	none	0	12	Anopheles funestus sensu lato	1.717417	58	PSC	33.736604	notEmpty	TRUE	soroti_sample_00086
soroti_collection_00036	2015-11-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-11-16	IA	1		MORPHO	none	3	3	Anopheles gambiae sensu lato	1.717417	102	HLC-IN	33.736604	notEmpty	FALSE	soroti_sample_00087
soroti_collection_00036	2015-11-13	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-11-16	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	108	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00088
soroti_collection_00036	2015-11-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-11-16	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	257	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00089
soroti_collection_00036	2015-11-13	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-11-16	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	2	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00090
soroti_collection_00036	2015-11-13	male	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-11-16	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	2	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00091
soroti_collection_00036	2015-11-13	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-11-16	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	26	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00092
